,index,Player,Value,Year
150,768,Kevin Huerter,22.578703,2020
151,786,Reggie Jackson,22.501629,2020
152,739,Gary Harris,22.448057,2020
153,719,Eric Gordon,22.254522,2020
154,675,Goran Dragic,22.086542,2020
155,1019,Fred VanVleet,22.053293,2020
156,568,Kent Bazemore,22.03577,2020
157,838,Kevon Looney,21.950562,2020
158,747,Gordon Hayward,21.93919,2020
159,939,Dwight Powell,21.846083,2020
160,762,Rondae Hollis-Jefferson,21.66007,2020
161,596,Miles Bridges,21.647493,2020
162,650,Jae Crowder,21.521646,2020
163,614,Bruno Caboclo,21.439465,2020
164,705,Markelle Fultz,21.425873,2020
165,1058,Ante Zizic,21.409168,2020
166,736,Maurice Harkless,21.32714,2020
167,751,Mario Hezonja,21.26169,2020
168,740,Joe Harris,21.157082,2020
169,796,Tyler Johnson,21.039387,2020
170,819,Rodions Kurucs,21.006256,2020
171,638,Zach Collins,20.92673,2020
172,542,Al-Farouq Aminu,20.784208,2020
173,713,Taj Gibson,20.755291,2020
174,574,DeAndre' Bembry,20.595314,2020
175,1043,Kenrich Williams,20.583288,2020
176,915,Jahlil Okafor,20.516691,2020
177,763,Richaun Holmes,20.49836,2020
178,935,Jakob Poeltl,20.493935,2020
179,760,Justin Holiday,20.44943,2020
180,563,Will Barton,20.443932,2020
181,800,Derrick Jones,20.313961,2020
182,691,Kenneth Faried,20.289896,2020
183,917,Josh Okogie,20.042675,2020
184,541,Kadeem Allen,20.035322,2020
185,549,Carmelo Anthony,20.02872,2020
186,624,Alex Caruso,19.98848,2020
187,553,D.J. Augustin,19.947657,2020
188,967,Tomas Satoransky,19.93524,2020
189,960,Terry Rozier,19.92874,2020
190,1024,Dion Waiters,19.913816,2020
191,593,Tony Bradley,19.90695,2020
192,966,Dario Saric,19.879438,2020
193,873,De'Anthony Melton,19.86345,2020
194,1045,Marvin Williams,19.83074,2020
195,578,Patrick Beverley,19.752142000000006,2020
196,581,Nemanja Bjelica,19.74173,2020
197,570,Malik Beasley,19.727499,2020
198,1051,Delon Wright,19.713238,2020
199,697,Dorian Finney-Smith,19.594666,2020
200,892,Monte Morris,19.574694,2020
201,750,Willy Hernangomez,19.52739,2020
202,1011,Allonzo Trier,19.284073,2020
203,561,J.J. Barea,19.215487,2020
204,726,Danny Green,19.11203,2020
205,730,Jeff Green,19.108925,2020
206,885,Malik Monk,19.10243,2020
207,744,Josh Hart,19.06391,2020
208,616,Kentavious Caldwell-Pope,18.903366,2020
209,729,JaMychal Green,18.879795,2020
210,673,Damyean Dotson,18.853207,2020
211,795,Stanley Johnson,18.809124,2020
212,698,Bryn Forbes,18.71141,2020
213,919,Kelly Olynyk,18.707047,2020
214,809,Luke Kennard,18.624363,2020
215,657,Ed Davis,18.608015,2020
216,804,Tyus Jones,18.58413,2020
217,887,E'Twaun Moore,18.300343,2020
218,1012,P.J. Tucker,18.244364,2020
219,764,Rodney Hood,18.232138,2020
220,840,Robin Lopez,18.178873,2020
221,807,Frank Kaminsky,18.17183,2020
222,609,Reggie Bullock,18.14926,2020
223,689,Tyreke Evans,18.029383,2020
224,607,Jalen Brunson,18.01376,2020
225,853,Thon Maker,17.864475,2020
226,859,Wesley Matthews,17.801458,2020
227,799,Damian Jones,17.796808,2020
228,952,Devin Robinson,17.767001999999994,2020
229,986,Zhaire Smith,17.757162,2020
230,714,Harry Giles,17.716091,2020
231,592,Avery Bradley,17.68724,2020
232,550,OG Anunoby,17.585155,2020
233,973,Landry Shamet,17.54659,2020
234,773,Andre Iguodala,17.393414,2020
235,906,Nerlens Noel,17.391281,2020
236,905,Joakim Noah,17.388035000000002,2020
237,619,DeMarre Carroll,17.358784,2020
238,610,Trey Burke,17.342106,2020
239,902,Shabazz Napier,17.275959,2020
240,1042,Johnathan Williams,17.233463,2020
241,806,Cory Joseph,17.22944,2020
242,743,Shaquille Harrison,17.15061,2020
243,766,Danuel House,17.118855,2020
244,606,Troy Brown,16.951135999999998,2020
245,847,Trey Lyles,16.87614,2020
246,656,Deyonta Davis,16.86195,2020
247,983,Ish Smith,16.859789000000006,2020
